Date,Total Actual Data
2023-06-18,875
2023-06-25,910
2023-07-02,1110
2023-07-09,960
2023-07-16,911
2023-07-23,783
2023-07-30,844
2023-08-06,767
2023-08-13,828
2023-08-20,764
2023-08-27,670
2023-09-03,593
2023-09-10,578
2023-09-17,476
2023-09-24,495
2023-10-01,646
2023-10-08,489
2023-10-15,452
2023-10-22,489
2023-10-29,460
2023-11-05,476
2023-11-12,412
2023-11-19,393
2023-11-26,452
2023-12-03,455
2023-12-10,409
2023-12-17,545
2023-12-24,853
2023-12-31,899
2024-01-07,533
2024-01-14,566
2024-01-21,503
2024-01-28,616
2024-02-04,547
2024-02-11,428
2024-02-18,502
2024-02-25,550
2024-03-03,574
2024-03-10,536
2024-03-17,467
2024-03-24,479
2024-03-31,176
2021-07-18,1675
2021-07-25,1772
2021-08-01,1906
2021-08-08,1658
2021-08-15,1772
2021-08-22,1227
2021-08-29,1167
2021-09-05,935
2021-09-12,704
2021-09-19,680
2021-09-26,845
2021-10-03,655
2021-10-10,608
2021-10-17,789
2021-10-24,708
2021-10-31,843
2021-11-07,817
2021-11-14,753
2021-11-21,800
2021-11-28,793
2021-12-05,693
2021-12-12,599
2021-12-19,896
2021-12-26,901
2022-01-02,1131
2022-01-09,837
2022-01-16,664
2022-01-23,692
2022-01-30,667
2022-02-06,605
2022-02-13,674
2022-02-20,722
2022-02-27,786
2022-03-06,808
2022-03-13,693
2022-03-20,794
2022-03-27,728
2022-04-03,738
2022-04-10,788
2022-04-17,720
2022-04-24,815
2022-05-01,904
2022-05-08,842
2022-05-15,773
2022-05-22,758
2022-05-29,882
2022-06-05,881
2022-06-12,955
2022-06-19,1060
2022-06-26,1065
2022-07-03,1253
2022-07-10,1236
2022-07-17,1132
2022-07-24,983
2022-07-31,1161
2022-08-07,1078
2022-08-14,1036
2022-08-21,1057
2022-08-28,890
2022-09-04,846
2022-09-11,653
2022-09-18,761
2022-09-25,652
2022-10-02,633
2022-10-09,582
2022-10-16,653
2022-10-23,638
2022-10-30,624
2022-11-06,590
2022-11-13,501
2022-11-20,518
2022-11-27,544
2022-12-04,497
2022-12-11,563
2022-12-18,616
2022-12-25,657
2023-01-01,859
2023-01-08,555
2023-01-15,528
2023-01-22,476
2023-01-29,556
2023-02-05,523
2023-02-12,537
2023-02-19,544
2023-02-26,627
2023-03-05,639
2023-03-12,593
2023-03-19,537
2023-03-26,500
2023-04-02,541
2023-04-09,567
2023-04-16,635
2023-04-23,569
2023-04-30,697
2023-05-07,564
2023-05-14,649
2023-05-21,657
2023-05-28,775
2023-06-04,743
2023-06-11,864
2020-08-09,653
2020-08-16,1417
2020-08-23,1220
2020-08-30,1179
2020-09-06,955
2020-09-13,954
2020-09-20,970
2020-09-27,1054
2020-10-04,845
2020-10-11,622
2020-10-18,585
2020-10-25,701
2020-11-01,767
2020-11-08,624
2020-11-15,898
2020-11-22,592
2020-11-29,1244
2020-12-06,726
2020-12-13,1131
2020-12-20,1287
2020-12-27,906
2021-01-03,1139
2021-01-10,928
2021-01-17,643
2021-01-24,720
2021-01-31,690
2021-02-07,733
2021-02-14,866
2021-02-21,669
2021-02-28,1119
2021-03-07,792
2021-03-14,666
2021-03-21,575
2021-03-28,750
2021-04-04,545
2021-04-11,653
2021-04-18,601
2021-04-25,979
2021-05-02,929
2021-05-09,879
2021-05-16,1144
2021-05-23,802
2021-05-30,1080
2021-06-06,1210
2021-06-13,1263
2021-06-20,1225
2021-06-27,1238
2021-07-04,1587
2021-07-11,1759
