Date,Total Actual Data
2021-08-29,324
2021-09-05,657
2021-09-12,580
2021-09-19,531
2021-09-26,692
2021-10-03,670
2021-10-10,650
2021-10-17,537
2021-10-24,480
2021-10-31,483
2021-11-07,549
2021-11-14,505
2021-11-21,439
2021-11-28,534
2021-12-05,412
2021-12-12,379
2021-12-19,445
2021-12-26,409
2022-01-02,498
2022-01-09,438
2022-01-16,403
2022-01-23,312
2022-01-30,316
2022-02-06,341
2022-02-13,353
2022-02-20,350
2022-02-27,386
2022-03-06,450
2022-03-13,426
2022-03-20,431
2022-03-27,498
2022-04-03,464
2022-04-10,499
2022-04-17,500
2022-04-24,550
2022-05-01,525
2022-05-08,514
2022-05-15,478
2022-05-22,490
2022-05-29,522
2022-06-05,515
2022-06-12,483
2022-06-19,585
2022-06-26,558
2022-07-03,669
2022-07-10,647
2022-07-17,579
2022-07-24,537
2022-07-31,590
2022-08-07,513
2022-08-14,509
2022-08-21,548
2022-08-28,446
2022-09-04,477
2022-09-11,444
2022-09-18,472
2022-09-25,463
2022-10-02,490
2022-10-09,417
2022-10-16,448
2022-10-23,398
2022-10-30,409
2022-11-06,500
2022-11-13,373
2022-11-20,466
2022-11-27,484
2022-12-04,382
2022-12-11,462
2022-12-18,516
2022-12-25,423
2023-01-01,538
2023-01-08,453
2023-01-15,406
2023-01-22,354
2023-01-29,453
2023-02-05,349
2023-02-12,403
2023-02-19,398
2023-02-26,423
2023-03-05,358
2023-03-12,406
2023-03-19,364
2023-03-26,382
2023-04-02,384
2023-04-09,359
2023-04-16,425
2023-04-23,360
2023-04-30,442
2023-05-07,394
2023-05-14,434
2023-05-21,406
2023-05-28,557
2023-06-04,430
2023-06-11,479
2023-06-18,490
2023-06-25,455
2023-07-02,623
2023-07-09,563
2023-07-16,608
2023-07-23,526
2023-07-30,460
2023-08-06,501
2023-08-13,503
2023-08-20,396
2023-08-27,452
2023-09-03,387
2023-09-10,477
2023-09-17,363
2023-09-24,364
2023-10-01,549
2023-10-08,371
2023-10-15,350
2023-10-22,416
2023-10-29,322
2023-11-05,353
2023-11-12,374
2023-11-19,345
2023-11-26,407
2023-12-03,293
2023-12-10,300
2023-12-17,360
2023-12-24,654
2023-12-31,519
2024-01-07,326
2024-01-14,281
2024-01-21,343
2024-01-28,394
2024-02-04,322
2024-02-11,285
2024-02-18,292
2024-02-25,369
2024-03-03,353
2024-03-10,331
2024-03-17,321
2024-03-24,382
2024-03-31,103
